Date,Close,Close(t-1),Close(t-2),Close(t-3),Close(t-4),Close(t-5),Close(t-6),Close(t-7)
1997-07-14,0.106771,0.114583,0.128125,0.116146,0.115104,0.1,0.095573,0.079427
1997-07-15,0.121875,0.106771,0.114583,0.128125,0.116146,0.115104,0.1,0.095573
1997-07-16,0.116667,0.121875,0.106771,0.114583,0.128125,0.116146,0.115104,0.1
1997-07-17,0.110938,0.116667,0.121875,0.106771,0.114583,0.128125,0.116146,0.115104
1997-07-18,0.107813,0.110938,0.116667,0.121875,0.106771,0.114583,0.128125,0.116146
1997-07-21,0.109115,0.107813,0.110938,0.116667,0.121875,0.106771,0.114583,0.128125
1997-07-22,0.106771,0.109115,0.107813,0.110938,0.116667,0.121875,0.106771,0.114583
1997-07-23,0.114583,0.106771,0.109115,0.107813,0.110938,0.116667,0.121875,0.106771
1997-07-24,0.113021,0.114583,0.106771,0.109115,0.107813,0.110938,0.116667,0.121875
1997-07-25,0.111458,0.113021,0.114583,0.106771,0.109115,0.107813,0.110938,0.116667
1997-07-28,0.116146,0.111458,0.113021,0.114583,0.106771,0.109115,0.107813,0.110938
1997-07-29,0.123958,0.116146,0.111458,0.113021,0.114583,0.106771,0.109115,0.107813
1997-07-30,0.122396,0.123958,0.116146,0.111458,0.113021,0.114583,0.106771,0.109115
1997-07-31,0.119792,0.122396,0.123958,0.116146,0.111458,0.113021,0.114583,0.106771
1997-08-01,0.120833,0.119792,0.122396,0.123958,0.116146,0.111458,0.113021,0.114583
1997-08-04,0.115625,0.120833,0.119792,0.122396,0.123958,0.116146,0.111458,0.113021
1997-08-05,0.110417,0.115625,0.120833,0.119792,0.122396,0.123958,0.116146,0.111458
1997-08-06,0.1125,0.110417,0.115625,0.120833,0.119792,0.122396,0.123958,0.116146
1997-08-07,0.108854,0.1125,0.110417,0.115625,0.120833,0.119792,0.122396,0.123958
1997-08-08,0.114583,0.108854,0.1125,0.110417,0.115625,0.120833,0.119792,0.122396
1997-08-11,0.116406,0.114583,0.108854,0.1125,0.110417,0.115625,0.120833,0.119792
1997-08-12,0.109896,0.116406,0.114583,0.108854,0.1125,0.110417,0.115625,0.120833
1997-08-13,0.109896,0.109896,0.116406,0.114583,0.108854,0.1125,0.110417,0.115625
1997-08-14,0.107813,0.109896,0.109896,0.116406,0.114583,0.108854,0.1125,0.110417
1997-08-15,0.105729,0.107813,0.109896,0.109896,0.116406,0.114583,0.108854,0.1125
1997-08-18,0.102083,0.105729,0.107813,0.109896,0.109896,0.116406,0.114583,0.108854
1997-08-19,0.108333,0.102083,0.105729,0.107813,0.109896,0.109896,0.116406,0.114583
1997-08-20,0.108333,0.108333,0.102083,0.105729,0.107813,0.109896,0.109896,0.116406
1997-08-21,0.105729,0.108333,0.108333,0.102083,0.105729,0.107813,0.109896,0.109896
1997-08-22,0.10625,0.105729,0.108333,0.108333,0.102083,0.105729,0.107813,0.109896
1997-08-25,0.110938,0.10625,0.105729,0.108333,0.108333,0.102083,0.105729,0.107813
1997-08-26,0.117188,0.110938,0.10625,0.105729,0.108333,0.108333,0.102083,0.105729
1997-08-27,0.115885,0.117188,0.110938,0.10625,0.105729,0.108333,0.108333,0.102083
1997-08-28,0.11875,0.115885,0.117188,0.110938,0.10625,0.105729,0.108333,0.108333
1997-08-29,0.116927,0.11875,0.115885,0.117188,0.110938,0.10625,0.105729,0.108333
1997-09-02,0.117708,0.116927,0.11875,0.115885,0.117188,0.110938,0.10625,0.105729
1997-09-03,0.116667,0.117708,0.116927,0.11875,0.115885,0.117188,0.110938,0.10625
1997-09-04,0.127604,0.116667,0.117708,0.116927,0.11875,0.115885,0.117188,0.110938
1997-09-05,0.125,0.127604,0.116667,0.117708,0.116927,0.11875,0.115885,0.117188
1997-09-08,0.15,0.125,0.127604,0.116667,0.117708,0.116927,0.11875,0.115885
