Price,Close,High,Low,Open,Volume
Ticker,^GDAXI,^GDAXI,^GDAXI,^GDAXI,^GDAXI
Date,,,,,
2017-01-02,11598.330078125,11617.2802734375,11414.8203125,11426.3798828125,47456100
2017-01-03,11584.240234375,11637.3701171875,11561.23046875,11631.7001953125,88413500
2017-01-04,11584.3095703125,11616.08984375,11531.4296875,11609.5302734375,82173600
2017-01-05,11584.9404296875,11602.5400390625,11537.400390625,11537.73046875,74924900
2017-01-06,11599.009765625,11605.740234375,11547.0498046875,11560.51953125,67084900
2017-01-09,11563.990234375,11606.8896484375,11522.349609375,11606.8896484375,78728200
2017-01-10,11583.2998046875,11606.9501953125,11544.990234375,11583.240234375,86076700
2017-01-11,11646.169921875,11692.26953125,11524.990234375,11587.5302734375,98191900
2017-01-12,11521.0400390625,11606.4296875,11491.8701171875,11599.240234375,98548200
2017-01-13,11629.1796875,11635.5498046875,11554.4501953125,11576.7802734375,80130600
2017-01-16,11554.7099609375,11579.0498046875,11535.9599609375,11537.4501953125,61105200
2017-01-17,11540.0,11583.4296875,11425.1396484375,11521.5,84637400
2017-01-18,11599.3896484375,11599.3896484375,11529.759765625,11592.1201171875,79838900
2017-01-19,11596.8896484375,11644.8798828125,11578.91015625,11624.1103515625,89132300
2017-01-20,11630.1298828125,11636.7900390625,11547.0400390625,11568.900390625,111382900
2017-01-23,11545.75,11605.2900390625,11508.830078125,11545.9697265625,77901600
2017-01-24,11594.9404296875,11596.1796875,11538.0498046875,11554.7998046875,79231000
2017-01-25,11806.0498046875,11827.73046875,11669.2998046875,11677.6298828125,119515300
2017-01-26,11848.6298828125,11893.080078125,11819.759765625,11867.91015625,90690800
2017-01-27,11814.26953125,11844.6796875,11798.259765625,11841.7197265625,71214800
2017-01-30,11681.8896484375,11792.330078125,11659.349609375,11786.3095703125,75301200
2017-01-31,11535.3095703125,11733.16015625,11535.3095703125,11692.5302734375,97413600
2017-02-01,11659.5,11723.3896484375,11622.599609375,11646.419921875,94496600
2017-02-02,11627.9501953125,11675.98046875,11603.650390625,11628.2802734375,97613900
2017-02-03,11651.490234375,11696.9404296875,11627.98046875,11636.23046875,80185400
2017-02-06,11509.83984375,11679.91015625,11509.580078125,11628.0302734375,92395100
2017-02-07,11549.4404296875,11606.259765625,11483.830078125,11498.490234375,70078100
2017-02-08,11543.3798828125,11591.259765625,11479.7802734375,11546.9296875,95316900
2017-02-09,11642.8603515625,11657.240234375,11548.1796875,11584.400390625,106780800
2017-02-10,11666.9697265625,11711.5498046875,11645.1298828125,11698.7001953125,76846100
2017-02-13,11774.4296875,11812.6904296875,11684.91015625,11697.990234375,76660400
2017-02-14,11771.8095703125,11787.8203125,11752.6796875,11766.990234375,70471800
2017-02-15,11793.9296875,11848.0400390625,11725.3798828125,11834.48046875,86209800
2017-02-16,11757.240234375,11814.7001953125,11728.3798828125,11778.990234375,74134300
2017-02-17,11757.01953125,11775.400390625,11693.7001953125,11759.5703125,89889600
2017-02-20,11827.6201171875,11841.0595703125,11804.7197265625,11831.7099609375,54693400
2017-02-21,11967.490234375,11987.580078125,11798.48046875,11817.9697265625,75495100
2017-02-22,11998.58984375,12031.1103515625,11966.01953125,11989.7099609375,91868800
2017-02-23,11947.830078125,12015.98046875,11925.8798828125,11994.0595703125,69772500
2017-02-24,11804.0302734375,11934.6396484375,11722.349609375,11920.900390625,98702100
2017-02-27,11822.669921875,11860.8203125,11792.509765625,11858.1396484375,62847100
2017-02-28,11834.41015625,11853.5,11780.830078125,11847.08984375,71294600
2017-03-01,12067.1904296875,12074.01953125,11913.83984375,11915.0302734375,106268000
2017-03-02,12059.5703125,12082.58984375,12041.900390625,12052.7998046875,79637900
2017-03-03,12027.3603515625,12058.2099609375,11995.400390625,11998.0595703125,100194300
2017-03-06,11958.400390625,11998.830078125,11921.5703125,11956.8095703125,96192800
2017-03-07,11966.1396484375,11988.8701171875,11935.330078125,11963.759765625,76452900
2017-03-08,11967.3095703125,12017.2802734375,11922.3095703125,11922.8603515625,96140500
2017-03-09,11978.3896484375,12024.7001953125,11917.7802734375,11923.509765625,102964600
